Title,Subtitle,Price,Offer,Shipping,Country,Sold
Dell Latitude Laptop Intel Core i5 1.70 GHz 16 Memory 256 HD Touchscreen Win 11,No subtitle,$224.99,No best offer,+$70.29 shipping,from United States,No sold information
"Windows 11 Laptop Dell Latitude 14.1"" Full HD Core i5 7th Gen 8GB 256GB SSD HDMI",Good - Refurbished,$198.20,or Best Offer,+$112.32 shipping,from United Kingdom,64 sold
"Dell Latitude Business PC Laptop 14"" Core i7 16GB RAM 256GB SSD Windows 10 Pro",Very Good - Refurbished,$244.99,or Best Offer,+$84.35 shipping,from United States,No sold information
"Dell Latitude 13.3"" Laptop Computer Celeron 8GB RAM 128GB SSD WiFi Windows 10",Very Good - Refurbished,$109.99,or Best Offer,+$80.37 shipping,from United States,565 sold
HP ProBook Convertible 2-in-1 Laptop/Tablet Core i5 8GB RAM 128GB SSD Windows 11,Very Good - Refurbished,$149.99,or Best Offer,+$74.80 shipping,from United States,651 sold
"DELL LATITUDE 3190 | 11.6"" INTEL CELERON N4120 4GB DDR4 64GB SSD MINI LAPTOP",Pre-Owned,$63.36,No best offer,Shipping not specified,from United Kingdom,30 sold
Dell Latitude Laptop Light Gaming PC Core i7 16GB RAM 512GB SSD Windows 11 Pro,Very Good - Refurbished,$329.99,No best offer,+$93.58 shipping,from United States,608 sold
Lenovo ThinkPad X1 Carbon 14” FHD Laptop Core i7 16GB RAM 256GB SSD Windows 10,Very Good - Refurbished,$319.99,No best offer,+$86.56 shipping,from United States,54 sold
"HP EliteBook 830 G8 13.3"" FHD TS Laptop Intel i7-1185G7 3 GHz 32GB 512GB W11P",No subtitle,$390.99,No best offer,+$81.91 shipping,from United States,89 sold
"Lenovo LOQ 15.6"" FHD 144Hz Gaming Laptop i5-12450HX 12GB RAM 512GB SSD RTX 3050",No subtitle,$599.99,No best offer,+$121.77 shipping,from United States,"2,289 sold"
Dell Latitude 7420 14” FHD Laptop Core i7 11th Gen 16GB RAM 512GB SSD Windows 11,Very Good - Refurbished,$349.99,No best offer,+$80.70 shipping,from United States,No sold information
"Dell Latitude 7480 14"" Laptop PC Core i7 16GB RAM 500GB SSD Windows 10 Webcam",Very Good - Refurbished,$279.99,No best offer,+$85.38 shipping,from United States,244 sold
New Listingdell laptop vostro 5470 i5+charger,Pre-Owned,$40.00,No best offer,Free International Shipping,from Israel,No sold information
Windows 11 Laptop Dell Latitude HD Intel Core i5 8th Gen 8GB 256GB SSD Warranty,Pre-Owned,$211.42,or Best Offer,+$112.32 shipping,from United Kingdom,95 sold
"14"" Lenovo ThinkPad Laptop: Intel i7 Quad Core! 16GB RAM! 1TB SSD! Windows 11!",No subtitle,$329.95,or Best Offer,+$86.86 shipping,from United States,No sold information
Cheap Laptop Dell Latitude Intel iCore i3 i5 8GB 128 GB SSD Windows 11 Webcam,No subtitle,$158.56,or Best Offer,+$112.32 shipping,from United Kingdom,904 sold
"10.1"" PANASONIC TOUGHPAD FZ-G1 MK4 FZ-G1R0-53TE i5-6300U 2.40GHZ 4GB 128GB LTE",No subtitle,$99.04 to $125.47,No best offer,Shipping not specified,from United Kingdom,No sold information
"Dell Latitude E7450 14"" Laptop PC Computer Core i7 16GB RAM 256GB SSD Windows 10",Very Good - Refurbished,$204.71,or Best Offer,+$89.89 shipping,from United States,342 sold
New ListingLenovo Office Notebook ThinkPad T480 256GB 16GB Laptop Memory Windows 11 T470 T460,No subtitle,$160.27,or Best Offer,+$33.33 shipping,from Germany,No sold information
Dell Latitude 3470 Laptop Computer Windows 10 PC Core i5 8GB RAM 1TB HDMI WiFi,Very Good - Refurbished,$169.52,or Best Offer,+$102.32 shipping,from United States,654 sold
"HP EliteBook x360 1040 G6 i7 8665U 1.90GHz 16GB RAM 256GB SSD 14"" FHD Touch Win ",Pre-Owned,$284.54,No best offer,+$33.28 shipping,from Australia,68 sold
"New ListingDell XPS 13 Plus 9320 i7-1360P 1TB 32GB 13.4"" Touch OLED 3.5K 9.5/10",No subtitle,$355.00,No best offer,+$124.31 shipping,from United States,No sold information
"HP EliteBook 850 G5 Laptop i5 8250U 1.60GHZ 15.6"" FHD 16GB 256GB NVMe Windows 11",Pre-Owned,$149.99,No best offer,+$113.70 shipping,from United States,No sold information
HP EliteBook 13” FHD 2-in-1 Touch Laptop PC Core i5 8GB RAM 256GB SSD Windows 10,Very Good - Refurbished,$222.99,No best offer,+$83.70 shipping,from United States,232 sold
"Lenovo ThinkPad T440P Intel i7-4600M 500GB HDD 8GB Ram 14"" Windows 10 Pro Laptop",Pre-Owned,$53.99,or Best Offer,+$117.95 shipping,from United States,9 sold
HP 250 G9 15.6  Full HD IPS Intel Core i5-1235U 16GB RAM 512GB SSD Notebook Dark,No subtitle,$389.99,No best offer,+$95.35 shipping,from United States,"1,082 sold"
Windows 11 Laptop HP EliteBook 1040 G5 X360 Touch Core i5-8350U 8GB 256GB SSD,No subtitle,$343.56,or Best Offer,+$264.29 shipping,from United Kingdom,111 sold
"Lenovo IdeaPad 3i 15.6"" Laptop Intel I3, 8GB RAM,  512GB Storage, 82RK00BDUS",Open Box,$269.99,No best offer,+$98.56 shipping,from United States,31 sold
Windows 10 Laptop Dell Latitude HD Intel Core i5 6th Gen 8GB 256GB SSD Warranty,Pre-Owned,$171.78,or Best Offer,+$112.32 shipping,from United Kingdom,50 sold
Dell Latitude 5500 Laptop PC Intel Core i5 4.10GHz 64GB RAM 4TB SSD Win 11 Pro,No subtitle,$335.00 to $777.00,No best offer,+$95.21 shipping,from United States,No sold information
"Lenovo Slim 14"" Chromebook Mediatek ARM, 4GB RAM, 64GB Storage, 82XJ002DUS",Open Box,$99.99,No best offer,+$80.07 shipping,from United States,146 sold
