Product Name,Price,Link,Features
Refurbished Apple iPhone 14 PRO MAX 128GB Fully Unlocked Purple - Grade A,$829.99,https://www.newegg.com/p/23B-000A-00TM3,Operating System: IOS 16; Main Display Resolution: 1290 x 2796; Rear Camera: 48 MP; Flash: Yes; Model #: MQ8R3LL/A
Refurbished Apple iPhone 13 Mini 128GB Fully Unlocked Blue Very Good - Grade B,$344.99,https://www.newegg.com/p/23B-000A-00V30,Operating System: iOS 15; Main Display Resolution: 1440 x 3200; Rear Camera: 12.0 MP; Flash: Yes; Model #: MLHR3LL/A00
Refurbished Apple iPhone 13 128GB Fully Unlocked Blue - Grade A,$404.62,https://www.newegg.com/p/23B-000A-00W41,Operating System: iOS 15; Main Display Resolution: 1440 x 3200; Rear Camera: 12.0 MP; Flash: Yes; Model #: MLMT3LL/A000
"Refurbished Apple iPhone 11 A13 Bionic, 4GB, 64GB, 6.1inch, iOS, A GRADE, Red (Unlocked) Refurbished",$209.99,https://www.newegg.com/apple-iphone-11-6-1-4g-lte-red/p/N82E16875113548,"Operating System: iOS; Part Number: 825633505131; Mobile Frequencies: GSM 850 / 1800 / 1900 MHz; Bands & Frequencies: GSM: 850, 1800, 1900 Mhz; Model #: 825633505131"
Refurbished Apple iPhone 12 mini 256GB Fully Unlocked Verizon T-Mobile AT&T 5G (2020) - Purple - Good Condition,$274.97,https://www.newegg.com/p/23M-0003-02J38?Item=9SIA7WPKAY8845&cm_sp=SP-_-2713296-_-0-_-2-_-9SIA7WPKAY8845-_-iPhone-_-iphone-_-5,Operating System: iOS; Model #: IPH12MN256PPCP65
Refurbished Apple iPhone 11 128GB Fully Unlocked Verizon T-Mobile AT&T 4G LTE (2019) - Red - Good Condition,$234.97,https://www.newegg.com/p/23M-0003-02J64?Item=9SIA7WPKB15437&cm_sp=SP-_-2713296-_-0-_-2-_-9SIA7WPKB15437-_-iPhone-_-iphone-_-6,Operating System: iOS; Model #: IPH11128RDCP65
Refurbished Apple iPhone 14 Plus 128GB Midnight Unlocked Smartphone 100% Battery - Good,$509.00,https://www.newegg.com/p/23M-0003-02HM1,Operating System: iOS; Model #: MQ3R3LL/A-ZNE3
Refurbished Apple iPhone 12 PRO MAX 128 GB Fully Unlocked Silver - Very Good Condition,$599.99,https://www.newegg.com/p/N82E16875113967,Model #: MGCG3LL/A
Refurbished Apple iPhone 11 Pro Max 512GB Fully Unlocked Verizon T-Mobile AT&T 4G LTE (2019) - Gold - Very Good Condition,$414.97,https://www.newegg.com/p/23M-0003-02J34?Item=9SIA7WPKAY8841&cm_sp=SP-_-2713340-_-0-_-2-_-9SIA7WPKAY8841-_-iPhone-_-iphone-_-9,Operating System: iOS; Model #: IPH11MX512GDAB65
Refurbished Apple iPhone 12 PRO 256GB Fully Unlocked Graphite - Very Good Condition,$548.68,https://www.newegg.com/p/N82E16875113965,Operating System: iOS 14; Form Factor: Smart Phones; Main Display Resolution: 2532 x 1170; Main Display Format: OLED; Model #: IPH-12P-256-GRY-B
Refurbished Apple iPhone 13 Mini 128GB Fully Unlocked Blue - Very Good Condition,$579.99,https://www.newegg.com/p/N82E16875113989,Model #: PAB100206
Refurbished Samsung Galaxy S20+ Plus 5G 128GB Fully Unlocked SM-G986 (2020) - Gray - Good Condition,$179.97,https://www.newegg.com/p/23B-0002-01AM1?Item=9SIA7WPKB14734&cm_sp=SP-_-2713388-_-0-_-3-_-9SIA7WPKB14734-_-iPhone-_-iphone-_-12,Operating System: Android; Model #: SMG986128GYCP65
Refurbished Apple iPhone 11 A2111 (Fully Unlocked) 64GB Black (Grade A) w/ Clear Phone Case,$229.12,https://www.newegg.com/apple-iphone-11-6-black/p/23M-0003-028D1,Operating System: iOS; Form Factor: Bar Phones; Touch Screen: Yes; GPS Integrated: Yes; Model #: APPL_IPH11_UNL_64_BLK_A_BUNDLEN
Refurbished Apple iPhone 11 Pro A2160 (Fully Unlocked) 64GB Space Gray (Grade C),$238.87,https://www.newegg.com/apple-iphone-11-pro-5-8-gray/p/23M-0003-029T2,Operating System: iOS; Form Factor: Bar Phones; Touch Screen: Yes; GPS Integrated: Yes; Model #: APPL_IPH11PRO_UNL_64_GRAY_C
Refurbished Apple iPhone 11 Pro 256GB Fully Unlocked Verizon T-Mobile AT&T 4G LTE (2019) - Gold - Very Good Condition,$314.97,https://www.newegg.com/p/23M-0003-02J65?Item=9SIA7WPKB15438&cm_sp=SP-_-2713340-_-0-_-2-_-9SIA7WPKB15438-_-iPhone-_-iphone-_-15,Operating System: iOS; Model #: IPH11PR256GDAB65
Refurbished Apple iPhone 12 Pro A2341 (Fully Unlocked) 128GB Pacific Blue (Grade B) w/ Pre-Installed Tempered Glass,$375.37,https://www.newegg.com/apple-iphone-12-pro-6-1-blue/p/23M-0003-02GF0,Operating System: iOS; Form Factor: Bar Phones; Touch Screen: Yes; GPS Integrated: Yes; Model #: APPL_IPH12PRO_UNL_128_BLUE_B_GLASS
Refurbished Apple iPhone XR 256GB Fully Unlocked Verizon T-Mobile AT&T 4G LTE (2018) - Coral - Good Condition,$269.99,https://www.newegg.com/p/23M-0003-020B6,Operating System: iOS; Model #: IPHXR256CRLVZWC99
Refurbished Apple iPhone 11 Pro Max 512GB Fully Unlocked Verizon T-Mobile AT&T 4G LTE (2019) - Green - Very Good Condition,$414.97,https://www.newegg.com/p/23M-0003-02J02?Item=9SIA7WPKAY0980&cm_sp=SP-_-2713340-_-0-_-2-_-9SIA7WPKAY0980-_-iPhone-_-iphone-_-18,Operating System: iOS; Model #: IPH11MX512GNAB65
Refurbished Apple iPhone SE Gen 3 (2022) 128GB Fully Unlocked Starlight - Grade A,$259.99,https://www.newegg.com/p/23B-000A-00UH2,Operating System: iOS 15; Main Display Resolution: 750 x 1334; Rear Camera: 12.0 MP; Flash: Yes; Model #: MMX93LL/A0
Refurbished Apple iPhone 12 Pro Max 128GB Fully Unlocked Blue - Grade B,$599.99,https://www.newegg.com/p/N82E16875113929,Model #: IPH-12PM-128-BLE-B
Refurbished Apple iPhone XR 256GB Fully Unlocked Verizon T-Mobile AT&T 4G LTE (2018) - White - Very Good Condition,$229.97,https://www.newegg.com/p/23M-0003-02J16?Item=9SIA7WPKAY0994&cm_sp=SP-_-2713340-_-0-_-2-_-9SIA7WPKAY0994-_-iPhone-_-iphone-_-21,Operating System: iOS; Model #: IPHXR256WHAB65
Refurbished Apple iPhone 13 Mini 128GB Fully Unlocked Blue - Grade A,$379.99,https://www.newegg.com/p/23B-000A-00TX8,Operating System: iOS 15; Main Display Resolution: 1440 x 3200; Rear Camera: 12.0 MP; Flash: Yes; Model #: MLHR3LL/A0
Refurbished Apple iPhone SE Gen 2 (2020) 64GB Fully Unlocked Black - Grade A,$116.99,https://www.newegg.com/p/23B-000A-00UG2,Operating System: iOS 13; Main Display Resolution: 750 x 1334; Rear Camera: 12.0 MP; Flash: Yes; Model #: MX9N2LL/A0
Refurbished Apple iPhone 12 mini 256GB Fully Unlocked Verizon T-Mobile AT&T 5G (2020) - Blue - Good Condition,$274.97,https://www.newegg.com/p/23M-0003-02J07?Item=9SIA7WPKAY0985&cm_sp=SP-_-2713296-_-0-_-2-_-9SIA7WPKAY0985-_-iPhone-_-iphone-_-24,Operating System: iOS; Model #: IPH12MN256BLCP65
Refurbished Apple iPhone 11 128GB Fully Unlocked Black Very Good - Grade B,$248.62,https://www.newegg.com/p/23B-000A-00W08,Operating System: iOS 13; Main Display Resolution: 828 x 1792; Rear Camera: 12.0 MP; Flash: Yes; Model #: MWLE2LL/A00
Refurbished Apple iPhone 12 Mini Fully Unlocked 4GB/64GB - Black,$214.49,https://www.newegg.com/apple-mini-5-4-black/p/23M-0003-02B90,Operating System: iOS 14; Form Factor: Bar Phones; Dual SIM: Yes; SIM Card Type: eSIM; Model #: 101-374-0015-NE
Refurbished Apple iPhone 12 PRO MAX 128GB Fully Unlocked Graphite Very Good - Grade A-,$469.99,https://www.newegg.com/p/23B-000A-00VS4,Operating System: iOS 14; Main Display Resolution: 1284 x 2778; Rear Camera: 12.0 MP; Flash: Yes; Model #: MGCF3LL/A00
Refurbished Apple iPhone 13 256GB Fully Unlocked Very Good Blue - Grade B,$419.99,https://www.newegg.com/p/23B-000A-00UZ4,Operating System: iOS 15; Main Display Resolution: 1440 x 3200; Rear Camera: 12.0 MP; Flash: Yes; Model #: MLN13LL/A00
Refurbished Apple iPhone 12 Mini 64GB Fully Unlocked Black - Grade C,$214.49,https://www.newegg.com/p/23B-000A-00VH7,Operating System: iOS 14; Main Display Resolution: 1080 x 2340; Rear Camera: 12.0 MP; Flash: Yes; Model #: MG8F3LL/A00
Refurbished Apple iPhone 13 Mini Fully Unlocked 4GB/128GB - Black,$331.49,https://www.newegg.com/apple-iphone-13-mini-5-4-black/p/23M-0003-026J1,Operating System: iOS; Part Number: 1; Compatible Carrier & Service: Unlocked; Touch Screen: Yes; Model #: 101-392-0165-NE
Refurbished Apple iPhone 11 128GB Fully Unlocked Black - Grade A,$248.62,https://www.newegg.com/p/23B-000A-00U51,Operating System: iOS 13; Main Display Resolution: 828 x 1792; Rear Camera: 12.0 MP; Flash: Yes; Model #: MWLE2LL/A0
Refurbished Apple iPhone 11 Pro 64GB Fully Unlocked Gold - Grade B,$389.99,https://www.newegg.com/apple-11-pro-5-8-inch-gold/p/N82E16875113919,"Operating System: iOS 13; Main Display Resolution: 2436 x 1125; Main Display Format: Super Retina XDR display; Rear Camera: Camera
Triple 12MP Ultra Wide, Wide, and Telephoto cameras
Ultra Wide: /2.4 aperture and 120 field of view
Wide: /1.8 aperture
Telephoto: /2.0 aperture
Portrait mode with advanced bokeh and Depth Control
Portrait Lighting with six effects (Natural, Studio, Contour, Stage, Stage Mono, High-Key Mono)
Dual optical image stabilization (Wide and Telephoto)
Five-element lens (Ultra Wide); six-element lens (Wide and Telephoto)
Brighter True Tone flash with Slow Sync
Panorama (up to 63MP)
Sapphire crystal lens cover
100% Focus Pixels (Wide)
Night mode
Auto Adjustments
Next-generation Smart HDR for photos
Wide color capture for photos and Live Photos
Advanced red-eye correction
Photo geotagging
Auto image ...; Model #: MWAQ2LL/A-GLD-B"
Refurbished Apple iPhone 11 A2111 (Fully Unlocked) 64GB Black,$209.62,https://www.newegg.com/apple-iphone-11-6-black/p/23M-0003-020Y0,Operating System: iOS; Form Factor: Bar Phones; Touch Screen: Yes; GPS Integrated: Yes; Model #: APPL_IPH11_UNL_64_BLK_B
Refurbished Apple iPhone 14 128GB Fully Unlocked - Grade A Midnight,$487.49,https://www.newegg.com/p/23B-000A-00TH9,Operating System: iOS; Model #: A2649
Refurbished Apple iPhone 12 Mini 64GB Fully Unlocked Green- Grade B,$299.99,https://www.newegg.com/apple-iphone-12-mini-5-4-5g-green/p/N82E16875113931,Operating System: iOS; Form Factor: Smart Phones; Main Display Resolution: 2340 x 1080; Main Display Format: OLED; Model #: IPH-12M-64-GRN-B
Refurbished Apple iPhone 11 64GB Fully Unlocked Red - Very Good Condition,$329.99,https://www.newegg.com/apple-iphone-11-6-1-4g-lte-red/p/N82E16875113618,"Operating System: iOS; Main Display Resolution: 1792 x 828; Main Display Format: Liquid Retina HD display; Rear Camera: Camera
Dual 12MP Wide and Ultra Wide cameras
Wide: /1.8 aperture
Ultra Wide: /2.4 aperture and 120 field of view
Portrait mode with advanced bokeh and Depth Control
Portrait Lighting with six effects (Natural, Studio, Contour, Stage, Stage Mono, High-Key Mono)
Optical image stabilization (Wide)
Six-element lens (Wide); five-element lens (Ultra Wide)
Panorama (up to 63MP)
Sapphire crystal lens cover
100% Focus Pixels (Wide)
Night mode (Wide)
Deep Fusion (Wide)
Next-generation Smart HDR for photos
Wide color capture for photos and Live Photos
Advanced red-eye correction
Auto image stabilization
Burst mode
Photo geotagging
Image formats captured: HEIF and JPEG
TrueDepth Camera
12MP camera
/2.2 apertur...; Model #: MWKP2LL/A-U"
Refurbished Apple iPhone 14 PRO 128GB Fully Unlocked Silver - Very Good Condition,$849.98,https://www.newegg.com/apple-iphone-14-pro-6-1-5g-silver/p/N82E16875113947,"Operating System: iOS; Main Display Format: Super Retina XDR display; Rear Camera: Pro camera system
48MP Main: 24 mm, /1.78 aperture, second-generation sensor-shift optical image stabilization, seven-element lens, 100% Focus Pixels
12MP Ultra Wide: 13 mm, /2.2 aperture and 120 field of view, six-element lens, 100% Focus Pixels
12MP 2x Telephoto (enabled by quad-pixel sensor): 48 mm, /1.78 aperture, second-generation sensor-shift optical image stabilization, seven-element lens, 100% Focus Pixels
12MP 3x Telephoto: 77 mm, /2.8 aperture, optical image stabilization, six-element lens
Sapphire crystal lens cover
Adaptive True Tone flash
Photonic Engine
Deep Fusion
Smart HDR 4
Portrait mode with advanced bokeh and Depth Control
Portrait Lighting with six effects (Natural, Studio, Contour, Stage, Stage Mono, High-Key Mono)
Night mode
Night...; Model #: PAB100673"
Refurbished Apple iPhone 14 PRO 256GB Fully Unlocked Space Black - Very Good Condition,$899.99,https://www.newegg.com/apple-iphone-14-6-1-5g-space-black/p/23B-000A-00TJ6,"Operating System: iOS; Main Display Format: Super Retina XDR display; Rear Camera: Pro camera system
48MP Main: 24 mm, /1.78 aperture, second-generation sensor-shift optical image stabilization, seven-element lens, 100% Focus Pixels
12MP Ultra Wide: 13 mm, /2.2 aperture and 120 field of view, six-element lens, 100% Focus Pixels
12MP 2x Telephoto (enabled by quad-pixel sensor): 48 mm, /1.78 aperture, second-generation sensor-shift optical image stabilization, seven-element lens, 100% Focus Pixels
12MP 3x Telephoto: 77 mm, /2.8 aperture, optical image stabilization, six-element lens
Sapphire crystal lens cover
Adaptive True Tone flash
Photonic Engine
Deep Fusion
Smart HDR 4
Portrait mode with advanced bokeh and Depth Control
Portrait Lighting with six effects (Natural, Studio, Contour, Stage, Stage Mono, High-Key Mono)
Night mode
Night...; Model #: MQ0N3LL/A"
Refurbished Apple iPhone 12 Mini 64GB Fully Unlocked Black - Very Good Condition,$289.98,https://www.newegg.com/apple-iphone-12-mini-5-4-5g-black/p/N82E16875113933,Operating System: iOS; Form Factor: Smart Phones; Main Display Resolution: 2340 x 1080; Main Display Format: OLED; Model #: IPH-12M-64-BLK-B
Refurbished Apple iPhone 12 mini 256GB Fully Unlocked Verizon T-Mobile AT&T 5G (2020) - Purple - Good Condition,$274.97,https://www.newegg.com/p/23M-0003-02J38,Operating System: iOS; Model #: IPH12MN256PPCP65
Refurbished Apple iPhone 14 PRO 128GB Fully Unlocked Gold - Grade A,$849.99,https://www.newegg.com/p/23B-000A-00TP6,Operating System: IOS 16; Main Display Resolution: 1179 x 2556; Rear Camera: 48 MP; Flash: Yes; Model #: MQ063LL/A
Refurbished Apple iPhone 13 128GB Unlocked Smartphone - Blue MLMT3LL/A - GRADE C,$339.99,https://www.newegg.com/apple-iphone-13-6-1/p/23M-0003-02666,Operating System: iOS; Rear Camera: 12.0 MP; Front-Facing Camera: 12 MP; Specifications: Item may have medium to heavy scratching on screen and/or dents on housing.; Model #: MLMT3LL/A - GRADE C
Refurbished Apple iPhone 15 Fully Unlocked 256GB - Black,$713.00,https://www.newegg.com/apple-iphone-15-6-1-black/p/23M-0003-02H87,Operating System: iOS 17; Form Factor: Bar Phones; Touch Screen: Yes; Main Display Resolution: 1179 x 2556; Model #: 101-423-0025-NE
Refurbished Apple iPhone 12 128GB Fully Unlocked Black Very Good - Grade B,$309.99,https://www.newegg.com/p/23B-000A-00VE3,Operating System: iOS 14; Main Display Resolution: 1440 x 3200; Rear Camera: 12.0 MP; Flash: Yes; Model #: MGHC3LL/A00
